article,volume,pageBegin,pageEnd
10.1007/BF01193578,Proceedings of the IEEE International Conference on Computer Vision-2,151,162
10.3233/FI-2016-1319,Proceedings of the IEEE International Conference on Computer Vision-2,261,275
10.14498/VSGTU365,Proceedings of the IEEE International Conference on Computer Vision-2,227,245
10.3233/AIC-2010-0488,Proceedings of the IEEE International Conference on Computer Vision-2,265,279
10.1007/978-3-662-60421-2_2,Proceedings of the IEEE International Conference on Computer Vision-2,259,277
10.1109/ISPDC.2015.33,Proceedings of the IEEE International Conference on Computer Vision-2,179,197
10.1016/j.ic.2007.01.001,Proceedings of the IEEE International Conference on Computer Vision-2,55,77
10.1007/978-3-319-47099-3_16,Proceedings of the IEEE International Conference on Computer Vision-2,230,242
10.1145/2972206.2972213,Proceedings of the IEEE International Conference on Computer Vision-2,169,187
10.1109/CEC.2013.6557654,Proceedings of the IEEE International Conference on Computer Vision-2,76,90
10.1109/ICSMC.2002.1176338,Proceedings of the IEEE International Conference on Computer Vision-2,286,292
10.1007/s00236-005-0176-0,Proceedings of the IEEE International Conference on Computer Vision-2,71,91
10.4230/OASIcs.SynCoP.2015.63,Proceedings of the IEEE International Conference on Computer Vision-2,117,126
10.1109/TAC.2011.2168874,Proceedings of the IEEE International Conference on Computer Vision-2,15,31
10.1007/s00236-006-0035-7,Proceedings of the IEEE International Conference on Computer Vision-2,14,31
10.2991/CITCS.2012.97,Proceedings of the IEEE International Conference on Computer Vision-2,152,163
10.1093/acprof:oso/9780195395518.003.0060,Proceedings of the IEEE International Conference on Computer Vision-2,171,185
10.1007/s00521-014-1760-4,Proceedings of the IEEE International Conference on Computer Vision-2,172,192
10.13154/tosc.v2018.i1.5-28,Proceedings of the IEEE International Conference on Computer Vision-2,108,112
10.1145/2405178.2405183,Proceedings of the IEEE International Conference on Computer Vision-2,7,27
10.1007/978-3-540-30597-2_1,Proceedings of the IEEE International Conference on Computer Vision-2,228,241
10.1016/j.scico.2016.04.003,Proceedings of the IEEE International Conference on Computer Vision-2,229,243
10.1504/IJSNET.2007.013195,Proceedings of the IEEE International Conference on Computer Vision-2,12,29
10.14236/EWIC/VECOS2008.1,Proceedings of the IEEE International Conference on Computer Vision-2,294,302
10.1017/S1471068412000373,Proceedings of the IEEE International Conference on Computer Vision-2,32,50
10.1109/TKDE.2017.2690288,Proceedings of the IEEE International Conference on Computer Vision-2,165,178
10.1109/GHTCE.2013.6767242,Proceedings of the IEEE International Conference on Computer Vision-2,115,127
10.1007/BF00264436,Proceedings of the IEEE International Conference on Computer Vision-2,209,230
10.1007/978-3-642-28942-2_62,Proceedings of the IEEE International Conference on Computer Vision-2,47,50
10.1016/J.SCICO.2011.11.005,Proceedings of the IEEE International Conference on Computer Vision-2,178,192
10.14778/3415478.3415547,Proceedings of the IEEE International Conference on Computer Vision-2,123,142
10.1007/s00287-013-0755-3,Proceedings of the IEEE International Conference on Computer Vision-2,157,168
10.1016/J.JCSS.2017.05.002,Proceedings of the IEEE International Conference on Computer Vision-2,37,53
10.1109/ICECCS.2019.00031,Proceedings of the IEEE International Conference on Computer Vision-2,67,77
10.1007/978-3-319-61824-1_42,Proceedings of the IEEE International Conference on Computer Vision-2,291,308
10.1007/978-88-470-1523-4_20,Proceedings of the IEEE International Conference on Computer Vision-2,187,197
10.1515/sjce-2016-0010,Proceedings of the IEEE International Conference on Computer Vision-2,34,54
10.1002/NAV.10118,Proceedings of the IEEE International Conference on Computer Vision-2,6,18
10.1007/978-1-4615-0843-4_23,Proceedings of the IEEE International Conference on Computer Vision-2,169,184
10.1016/J.OMEGA.2018.08.001,Proceedings of the IEEE International Conference on Computer Vision-2,134,141
10.1007/BF00289589,Proceedings of the IEEE International Conference on Computer Vision-2,140,149
10.1007/978-3-030-47147-7,Proceedings of the IEEE International Conference on Computer Vision-2,193,203
10.1007/BF00289044,Proceedings of the IEEE International Conference on Computer Vision-2,199,217
10.1007/978-3-540-69912-5_11,Proceedings of the IEEE International Conference on Computer Vision-2,294,315
10.1007/978-3-319-66845-1_8,Proceedings of the IEEE International Conference on Computer Vision-2,264,274
10.1006/inco.1999.2826,Proceedings of the IEEE International Conference on Computer Vision-2,106,123
10.1007/978-3-540-24756-2_16,Proceedings of the IEEE International Conference on Computer Vision-2,281,296
10.1145/2088456.1863539,Proceedings of the IEEE International Conference on Computer Vision-2,276,293
10.1109/JPROC.2018.2834926,Proceedings of the IEEE International Conference on Computer Vision-2,151,159
10.1007/978-3-642-22993-0_42,Proceedings of the IEEE International Conference on Computer Vision-2,239,243
10.4230/LIPIcs.FSCD.2017.7,Proceedings of the IEEE International Conference on Computer Vision-2,120,139
10.1007/s00453-007-9009-6,Proceedings of the IEEE International Conference on Computer Vision-2,275,287
10.1007/978-0-387-30162-4_279,Proceedings of the IEEE International Conference on Computer Vision-2,214,231
10.1145/2642687.2642688,Proceedings of the IEEE International Conference on Computer Vision-2,105,119
10.1093/logcom/ext073,Proceedings of the IEEE International Conference on Computer Vision-2,227,237
10.1109/TKDE.2017.2651803,Proceedings of the IEEE International Conference on Computer Vision-2,181,189
10.1109/TC.2015.2435779,Proceedings of the IEEE International Conference on Computer Vision-2,116,129
10.1109/CC.2015.7224698,Proceedings of the IEEE International Conference on Computer Vision-2,284,301
10.1109/MASCOTS.2016.34,Proceedings of the IEEE International Conference on Computer Vision-2,156,168
10.1007/BF00264163,Proceedings of the IEEE International Conference on Computer Vision-2,284,295
10.1007/978-3-642-31594-7_31,Proceedings of the IEEE International Conference on Computer Vision-2,221,233
10.1007/978-3-319-63962-8_257-1,Proceedings of the IEEE International Conference on Computer Vision-2,30,45
10.5220/0005924003600367,Proceedings of the IEEE International Conference on Computer Vision-2,50,69
10.1007/3-540-30296-4_8,Proceedings of the IEEE International Conference on Computer Vision-2,170,186
10.1007/s00236-015-0218-1,Proceedings of the IEEE International Conference on Computer Vision-2,99,113
10.20868/upm.thesis.64477,Proceedings of the IEEE International Conference on Computer Vision-2,48,63
10.1016/j.scico.2013.06.009,Proceedings of the IEEE International Conference on Computer Vision-2,254,269
10.4108/icst.bict.2014.258046,Proceedings of the IEEE International Conference on Computer Vision-2,64,67
10.1007/978-3-662-45234-9_22,Proceedings of the IEEE International Conference on Computer Vision-2,217,226
10.1007/978-3-319-08846-4_11,Proceedings of the IEEE International Conference on Computer Vision-2,40,56
10.1007/s001650050037,Proceedings of the IEEE International Conference on Computer Vision-2,154,173
10.1080/15536548.2015.1045372,Proceedings of the IEEE International Conference on Computer Vision-2,263,278
10.1007/BF00288746,Proceedings of the IEEE International Conference on Computer Vision-2,55,73
10.1007/978-3-319-96145-3_24,Proceedings of the IEEE International Conference on Computer Vision-2,23,39
10.1145/3337821.3337825,Proceedings of the IEEE International Conference on Computer Vision-2,60,69
10.1007/978-3-030-12797-8,Proceedings of the IEEE International Conference on Computer Vision-2,231,239
10.1007/s11276-005-5275-x,Proceedings of the IEEE International Conference on Computer Vision-2,39,47
10.1007/BF00264494,Proceedings of the IEEE International Conference on Computer Vision-2,217,233
10.1007/978-3-030-29948-4_7,Proceedings of the IEEE International Conference on Computer Vision-2,109,122
10.1007/978-3-030-03424-5,Proceedings of the IEEE International Conference on Computer Vision-2,91,102
10.1016/j.ic.2015.02.002,Proceedings of the IEEE International Conference on Computer Vision-2,173,194
10.1007/978-3-030-44914-8_26,Proceedings of the IEEE International Conference on Computer Vision-2,108,120
10.1109/TENCON.1989.177110,Proceedings of the IEEE International Conference on Computer Vision-2,18,33
10.1016/S0020-0190(02)00395-2,Proceedings of the IEEE International Conference on Computer Vision-2,85,89
10.1109/ICCSE.2013.6554064,Proceedings of the IEEE International Conference on Computer Vision-2,241,256
10.1007/BF00271640,Proceedings of the IEEE International Conference on Computer Vision-2,87,101
10.1007/s00236-018-0314-0,Proceedings of the IEEE International Conference on Computer Vision-2,102,112
10.1109/IPDPS.2007.370426,Proceedings of the IEEE International Conference on Computer Vision-2,122,141
10.1007/BF01178666,Proceedings of the IEEE International Conference on Computer Vision-2,172,180
10.1016/j.tcs.2020.07.007,Proceedings of the IEEE International Conference on Computer Vision-2,298,316
10.1109/ICNC.2012.81,Proceedings of the IEEE International Conference on Computer Vision-2,95,117
10.1145/2968478.2968499,Proceedings of the IEEE International Conference on Computer Vision-2,104,123
10.1051/ita:2007033,Proceedings of the IEEE International Conference on Computer Vision-2,5,17
10.1109/ACCESS.2020.3043762,Proceedings of the IEEE International Conference on Computer Vision-2,106,121
10.1214/09-AAP640,Proceedings of the IEEE International Conference on Computer Vision-2,59,70
10.1007/978-3-540-40042-4_4,Proceedings of the IEEE International Conference on Computer Vision-2,39,60
10.1109/DASC.2011.200,Proceedings of the IEEE International Conference on Computer Vision-2,165,177
10.1007/BF00288648,Proceedings of the IEEE International Conference on Computer Vision-2,55,58
10.1007/3-540-45931-6_2,Proceedings of the IEEE International Conference on Computer Vision-2,269,279
10.1007/978-0-387-35608-2_36,Proceedings of the IEEE International Conference on Computer Vision-2,191,194
10.1007/11877028_18,Proceedings of the IEEE International Conference on Computer Vision-2,129,136
10.1007/978-3-319-21690-4_9,Proceedings of the IEEE International Conference on Computer Vision-2,167,179
10.1007/BF00263587,Proceedings of the IEEE International Conference on Computer Vision-2,194,205
10.1016/j.scico.2014.01.008,Proceedings of the IEEE International Conference on Computer Vision-2,211,227
10.18297/ETD/1349,Proceedings of the IEEE International Conference on Computer Vision-2,194,213
10.1016/j.csi.2008.05.011,Proceedings of the IEEE International Conference on Computer Vision-2,154,172
10.4230/LIPIcs.MFCS.2017.22,Proceedings of the IEEE International Conference on Computer Vision-2,288,300
10.23919/FMCAD.2018.8603009,Proceedings of the IEEE International Conference on Computer Vision-2,6,31
10.1007/978-3-642-15865-0_8,Proceedings of the IEEE International Conference on Computer Vision-2,101,116
10.1007/978-3-642-33536-5_27,Proceedings of the IEEE International Conference on Computer Vision-2,72,93
10.7146/BRICS.V12I31.21898,Proceedings of the IEEE International Conference on Computer Vision-2,140,150
10.1016/j.ic.2017.01.007,Proceedings of the IEEE International Conference on Computer Vision-2,4,19
10.1109/RTSS.2007.24,Proceedings of the IEEE International Conference on Computer Vision-2,36,50
10.1145/2738054,Proceedings of the IEEE International Conference on Computer Vision-2,199,213
10.1016/J.TCS.2015.03.051,Proceedings of the IEEE International Conference on Computer Vision-2,38,57
10.1007/BF00290729,Proceedings of the IEEE International Conference on Computer Vision-2,210,230
10.1007/3-540-58179-0_72,Proceedings of the IEEE International Conference on Computer Vision-2,212,225
10.1109/ICPS48405.2020.9274758,Proceedings of the IEEE International Conference on Computer Vision-2,194,207
10.1007/978-3-642-30409-5_13,Proceedings of the IEEE International Conference on Computer Vision-2,135,157
10.1007/978-3-642-19718-5_11,Proceedings of the IEEE International Conference on Computer Vision-2,64,70
10.1007/978-3-540-36212-8_7,Proceedings of the IEEE International Conference on Computer Vision-2,36,55
10.1007/s10878-008-9200-y,Proceedings of the IEEE International Conference on Computer Vision-2,131,143
10.3233/978-1-61499-098-7-432,Proceedings of the IEEE International Conference on Computer Vision-2,122,144
10.1016/B978-012088469-8.50060-7,Proceedings of the IEEE International Conference on Computer Vision-2,300,311
10.1007/978-3-540-45078-8_10,Proceedings of the IEEE International Conference on Computer Vision-2,54,62
10.1017/S0956796802004574,Proceedings of the IEEE International Conference on Computer Vision-2,248,263
10.1007/978-3-642-38230-7_5,Proceedings of the IEEE International Conference on Computer Vision-2,219,237
10.1023/A:1025196714293,Proceedings of the IEEE International Conference on Computer Vision-2,156,169
10.1007/BF01209709,Proceedings of the IEEE International Conference on Computer Vision-2,299,315
10.1007/s00450-011-0186-9,Proceedings of the IEEE International Conference on Computer Vision-2,181,187
10.1371/journal.pone.0037739,Proceedings of the IEEE International Conference on Computer Vision-2,282,299
10.1145/3336294.3336301,Proceedings of the IEEE International Conference on Computer Vision-2,264,282
10.1007/978-3-642-14922-1_54,Proceedings of the IEEE International Conference on Computer Vision-2,273,279
10.1023/A:1009601513674,Proceedings of the IEEE International Conference on Computer Vision-2,217,234
10.1109/32.265634,Proceedings of the IEEE International Conference on Computer Vision-2,241,256
10.1007/3-540-44895-0_1,Proceedings of the IEEE International Conference on Computer Vision-2,194,200
10.13140/RG.2.2.27499.39201/3,Proceedings of the IEEE International Conference on Computer Vision-2,103,120
10.1109/QSIC.2007.4385492,Proceedings of the IEEE International Conference on Computer Vision-2,271,284
10.1007/s002360050142,Proceedings of the IEEE International Conference on Computer Vision-2,6,27
10.1016/j.is.2015.01.009,Proceedings of the IEEE International Conference on Computer Vision-2,283,289
10.1007/s00236-014-0200-3,Proceedings of the IEEE International Conference on Computer Vision-2,136,149
10.1016/j.patrec.2014.04.019,Proceedings of the IEEE International Conference on Computer Vision-2,226,239
10.1016/j.tcs.2008.09.031,Proceedings of the IEEE International Conference on Computer Vision-3,41,55
10.1109/TIT.2010.2079016,Proceedings of the IEEE International Conference on Computer Vision-3,107,124
10.1145/3110282,Proceedings of the IEEE International Conference on Computer Vision-3,76,102
10.1007/s00236-005-0166-2,Proceedings of the IEEE International Conference on Computer Vision-3,187,196
10.1155/2014/584197,Proceedings of the IEEE International Conference on Computer Vision-3,192,201
10.1109/LICS.2006.30,Proceedings of the IEEE International Conference on Computer Vision-3,60,76
10.4230/LIPIcs.MFCS.2017.4,Proceedings of the IEEE International Conference on Computer Vision-3,269,283
10.1142/S0217595905000662,Proceedings of the IEEE International Conference on Computer Vision-3,50,61
10.1145/192309.192313,Proceedings of the IEEE International Conference on Computer Vision-3,228,251
10.1016/j.ress.2015.09.017,Proceedings of the IEEE International Conference on Computer Vision-3,90,104
10.1109/ICDEW.2015.7129574,Proceedings of the IEEE International Conference on Computer Vision-3,76,96
10.1109/ICCNC.2013.6504201,Proceedings of the IEEE International Conference on Computer Vision-3,164,180
10.3390/s120607828,Proceedings of the IEEE International Conference on Computer Vision-3,119,134
10.1016/j.entcs.2004.05.020,Proceedings of the IEEE International Conference on Computer Vision-3,176,197
10.17646/KOME.2014.15,Proceedings of the IEEE International Conference on Computer Vision-3,35,57
10.1007/978-3-8348-2151-5_2,Proceedings of the IEEE International Conference on Computer Vision-3,257,270
10.1007/s00236-009-0092-9,Proceedings of the IEEE International Conference on Computer Vision-3,115,137
10.4230/LIPIcs.CONCUR.2015.198,Proceedings of the IEEE International Conference on Computer Vision-3,76,91
10.1007/978-3-642-13675-7_8,Proceedings of the IEEE International Conference on Computer Vision-3,209,215
10.1007/s00224-013-9468-x,Proceedings of the IEEE International Conference on Computer Vision-3,172,175
10.5075/epfl-thesis-8761,Proceedings of the IEEE International Conference on Computer Vision-3,90,115
10.1007/978-3-540-87559-8_16,Proceedings of the IEEE International Conference on Computer Vision-3,186,204
10.4102/hts.v76i4.5652,Proceedings of the IEEE International Conference on Computer Vision-3,109,120
10.1109/ICEBE.2010.38,Proceedings of the IEEE International Conference on Computer Vision-3,91,107
10.1007/978-3-319-68786-5_38,Proceedings of the IEEE International Conference on Computer Vision-3,211,230
10.1016/j.scico.2016.03.008,Proceedings of the IEEE International Conference on Computer Vision-3,165,188
10.1088/0031-9155/57/2/415,Proceedings of the IEEE International Conference on Computer Vision-3,171,185
10.1016/j.jcss.2016.11.001,Proceedings of the IEEE International Conference on Computer Vision-3,253,260
10.3929/ETHZ-A-005523483,Proceedings of the IEEE International Conference on Computer Vision-3,14,31
10.1007/978-3-642-21834-7_8,Proceedings of the IEEE International Conference on Computer Vision-3,208,219
10.1145/2442516.2442535,Proceedings of the IEEE International Conference on Computer Vision-3,177,195
10.1007/s11134-012-9282-1,Proceedings of the IEEE International Conference on Computer Vision-3,213,229
10.1007/3-540-45541-8,Proceedings of the IEEE International Conference on Computer Vision-3,126,139
10.1057/9781137002419.0006,Proceedings of the IEEE International Conference on Computer Vision-3,6,25
10.1016/j.dam.2005.05.023,Proceedings of the IEEE International Conference on Computer Vision-3,116,131
10.1016/S0004-3702(97)00044-1,Proceedings of the IEEE International Conference on Computer Vision-3,90,102
10.18419/OPUS-2661,Proceedings of the IEEE International Conference on Computer Vision-3,6,23
10.1201/9781315119335-11,Proceedings of the IEEE International Conference on Computer Vision-3,289,302
10.1109/ICNC.2007.177,Proceedings of the IEEE International Conference on Computer Vision-3,66,76
10.1007/b94290,Proceedings of the IEEE International Conference on Computer Vision-3,294,308
10.1007/b14292,Proceedings of the IEEE International Conference on Computer Vision-3,275,278
10.1109/LICS.2009.21,Proceedings of the IEEE International Conference on Computer Vision-3,177,194
10.1007/978-3-642-31662-3_16,Proceedings of the IEEE International Conference on Computer Vision-3,293,309
10.1109/FUZZ-IEEE.2016.7737690,Proceedings of the IEEE International Conference on Computer Vision-3,213,217
10.1023/A:1008616811104,Proceedings of the IEEE International Conference on Computer Vision-3,175,189
10.1007/s002360100067,Proceedings of the IEEE International Conference on Computer Vision-3,233,239
10.1016/j.tcs.2006.03.003,Proceedings of the IEEE International Conference on Computer Vision-3,119,136
10.1051/ita/2017010,Proceedings of the IEEE International Conference on Computer Vision-3,182,203
10.1007/978-3-642-13731-0_4,Proceedings of the IEEE International Conference on Computer Vision-3,284,291
10.1007/11541868_3,Proceedings of the IEEE International Conference on Computer Vision-3,233,242
10.1016/j.entcs.2006.10.051,Proceedings of the IEEE International Conference on Computer Vision-3,246,264
10.1016/j.endm.2004.06.011,Proceedings of the IEEE International Conference on Computer Vision-3,71,79
10.1007/978-3-540-89639-5_64,Proceedings of the IEEE International Conference on Computer Vision-3,22,37
10.1007/978-3-319-14472-6_21,Proceedings of the IEEE International Conference on Computer Vision-3,254,267
10.1006/inco.1997.2680,Proceedings of the IEEE International Conference on Computer Vision-3,120,133
10.5220/0001900402460251,Proceedings of the IEEE International Conference on Computer Vision-3,57,69
10.3166/ria.23.183-202,Proceedings of the IEEE International Conference on Computer Vision-3,153,167
10.1007/s00236-008-0078-z,Proceedings of the IEEE International Conference on Computer Vision-3,238,256
10.1007/978-3-030-61362-4_3,Proceedings of the IEEE International Conference on Computer Vision-3,205,224
10.1109/PNPM.2003.1231545,Proceedings of the IEEE International Conference on Computer Vision-3,24,38
10.1016/J.JSS.2019.07.100,Proceedings of the IEEE International Conference on Computer Vision-3,11,28
10.1007/s002360050052,Proceedings of the IEEE International Conference on Computer Vision-3,221,234
10.1007/978-3-540-68552-4_22,Proceedings of the IEEE International Conference on Computer Vision-3,218,231
10.1145/3012071.3012104,Proceedings of the IEEE International Conference on Computer Vision-3,275,284
10.1016/j.entcs.2007.04.013,Proceedings of the IEEE International Conference on Computer Vision-3,59,72
10.1007/s00236-009-0099-2,Proceedings of the IEEE International Conference on Computer Vision-3,10,32
10.1016/J.FUTURE.2018.09.061,Proceedings of the IEEE International Conference on Computer Vision-3,152,171
10.1007/978-3-030-01042-3_5,Proceedings of the IEEE International Conference on Computer Vision-3,151,171
10.1007/978-3-030-25543-5_23,Proceedings of the IEEE International Conference on Computer Vision-3,272,283
10.1201/B18373-35,Proceedings of the IEEE International Conference on Computer Vision-3,72,86
10.1520/SSMS20160001,Proceedings of the IEEE International Conference on Computer Vision-3,246,264
10.1007/BF01178684,Proceedings of the IEEE International Conference on Computer Vision-3,162,181
10.1109/CCGrid.2015.150,Proceedings of the IEEE International Conference on Computer Vision-3,224,239
10.3389/fninf.2014.00068,Proceedings of the IEEE International Conference on Computer Vision-3,93,107
10.1007/BF00268322,Proceedings of the IEEE International Conference on Computer Vision-3,18,37
10.1109/ICDE.2015.7113298,Proceedings of the IEEE International Conference on Computer Vision-3,57,77
10.1007/3-540-61474-5_74,Proceedings of the IEEE International Conference on Computer Vision-3,217,237
10.1007/978-3-642-31131-4_10,Proceedings of the IEEE International Conference on Computer Vision-3,218,230
10.1145/800070.802185,Proceedings of the IEEE International Conference on Computer Vision-3,143,151
10.1145/2975167.2975205,Proceedings of the IEEE International Conference on Computer Vision-3,100,107
10.1134/S0081543815050107,Proceedings of the IEEE International Conference on Computer Vision-3,243,257
10.1007/978-3-319-06251-8_13,Proceedings of the IEEE International Conference on Computer Vision-3,215,223
10.4018/jisp.2010040101,Proceedings of the IEEE International Conference on Computer Vision-3,261,270
10.1145/3360599,Proceedings of the IEEE International Conference on Computer Vision-3,121,127
10.1109/ICON.2008.4772637,Proceedings of the IEEE International Conference on Computer Vision-3,77,88
10.4230/LIPIcs.STACS.2018.34,Proceedings of the IEEE International Conference on Computer Vision-3,221,237
10.1145/3265723.3265739,Proceedings of the IEEE International Conference on Computer Vision-3,45,63
10.1007/978-3-030-02149-8_16,Proceedings of the IEEE International Conference on Computer Vision-3,31,48
10.1109/TSE.2012.39,Proceedings of the IEEE International Conference on Computer Vision-3,219,243
10.1115/1.4001363,Proceedings of the IEEE International Conference on Computer Vision-3,240,251
10.1007/BF01179371,Proceedings of the IEEE International Conference on Computer Vision-3,154,165
10.1007/978-3-319-07734-5_9,Proceedings of the IEEE International Conference on Computer Vision-3,52,66
10.1137/100816833,Proceedings of the IEEE International Conference on Computer Vision-3,68,78
10.4230/LIPIcs.STACS.2012.254,Proceedings of the IEEE International Conference on Computer Vision-3,134,149
10.1007/BF00265558,Proceedings of the IEEE International Conference on Computer Vision-3,270,289
10.1109/ICSTW.2015.7107449,Proceedings of the IEEE International Conference on Computer Vision-3,80,90
10.1007/3-540-45749-6_17,Proceedings of the IEEE International Conference on Computer Vision-3,171,190
10.1016/j.cpc.2020.107610,Proceedings of the IEEE International Conference on Computer Vision-3,225,228
10.1145/2508859.2516721,Proceedings of the IEEE International Conference on Computer Vision-3,262,273
10.2478/afepuc-2019-0016,Proceedings of the IEEE International Conference on Computer Vision-3,85,101
10.1109/ICDM.2003.1251007,Proceedings of the IEEE International Conference on Computer Vision-3,225,241
10.1007/s00224-017-9784-7,Proceedings of the IEEE International Conference on Computer Vision-3,27,46
10.1109/CMPSAC.1990.139338,Proceedings of the IEEE International Conference on Computer Vision-3,35,57
10.4230/LIPIcs.ECOOP.2020.11,Proceedings of the IEEE International Conference on Computer Vision-3,290,306
10.1007/BF00571460,Proceedings of the IEEE International Conference on Computer Vision-3,278,296
10.1017/S1471068411000627,Proceedings of the IEEE International Conference on Computer Vision-3,255,269
10.1007/3-540-45007-6_18,Proceedings of the IEEE International Conference on Computer Vision-3,248,255
10.1007/BF00264284,Proceedings of the IEEE International Conference on Computer Vision-3,60,74
10.1007/978-3-642-39718-9_4,Proceedings of the IEEE International Conference on Computer Vision-3,101,111
10.1007/978-3-540-76837-1_65,Proceedings of the IEEE International Conference on Computer Vision-3,66,82
10.1016/S0304-3975(81)80003-5,Proceedings of the IEEE International Conference on Computer Vision-3,85,92
10.21553/REV-JEC.51,Proceedings of the IEEE International Conference on Computer Vision-3,178,194
10.1016/S0885-064X(03)00028-1,Proceedings of the IEEE International Conference on Computer Vision-3,201,215
10.1017/S0956796818000096,Proceedings of the IEEE International Conference on Computer Vision-3,184,205
10.1007/978-3-540-24571-1_3,Proceedings of the IEEE International Conference on Computer Vision-3,101,109
10.1007/978-3-642-13094-6_37,Proceedings of the IEEE International Conference on Computer Vision-3,64,82
10.1109/DSAA.2017.15,Proceedings of the IEEE International Conference on Computer Vision-3,225,229
10.1109/CDC.2003.1271731,Proceedings of the IEEE International Conference on Computer Vision-3,36,54
10.1007/978-3-540-69850-0_12,Proceedings of the IEEE International Conference on Computer Vision-3,149,170
10.1109/WIOPT.2015.7151064,Proceedings of the IEEE International Conference on Computer Vision-3,67,78
10.1007/BF01245300,Proceedings of the IEEE International Conference on Computer Vision-3,244,257
10.1016/J.PHYSA.2014.08.031,Proceedings of the IEEE International Conference on Computer Vision-3,178,185
10.1109/ICDM.2011.63,Proceedings of the IEEE International Conference on Computer Vision-3,148,159
10.1007/978-3-319-32582-8_8,Proceedings of the IEEE International Conference on Computer Vision-3,283,296
10.3990/1.9789036536523,Proceedings of the IEEE International Conference on Computer Vision-3,132,143
10.1109/ICCD.2002.1106744,Proceedings of the IEEE International Conference on Computer Vision-3,154,174
10.1145/1989323.1989414,Proceedings of the IEEE International Conference on Computer Vision-3,272,289
10.1109/SFCS.1984.715900,Proceedings of the IEEE International Conference on Computer Vision-3,133,143
10.1109/TSE.2010.62,Proceedings of the IEEE International Conference on Computer Vision-3,265,282
10.1109/IRC.2019.00016,Proceedings of the IEEE International Conference on Computer Vision-3,279,295
10.1016/S0304-3975(02)00641-2,Proceedings of the IEEE International Conference on Computer Vision-3,197,205
10.1109/TFUZZ.2010.2089633,Proceedings of the IEEE International Conference on Computer Vision-3,149,168
10.1007/978-3-662-54458-7_11,Proceedings of the IEEE International Conference on Computer Vision-3,213,221
10.1142/S0129054108006042,Proceedings of the IEEE International Conference on Computer Vision-3,299,311
10.1145/2816795.2818094,Proceedings of the IEEE International Conference on Computer Vision-3,7,20
10.1016/J.PHPRO.2012.02.287,Proceedings of the IEEE International Conference on Computer Vision-3,295,307
10.1016/j.entcs.2005.01.006,Proceedings of the IEEE International Conference on Computer Vision-3,79,94
10.1007/978-3-540-73001-9_4,Proceedings of the IEEE International Conference on Computer Vision-3,96,105
10.1007/978-3-642-17679-1_12,Proceedings of the IEEE International Conference on Computer Vision-3,77,86
10.1002/rsa.20711,Proceedings of the IEEE International Conference on Computer Vision-3,214,231
10.24251/HICSS.2017.206,Proceedings of the IEEE International Conference on Computer Vision-3,19,33
10.1145/635499.635501,Proceedings of the IEEE International Conference on Computer Vision-3,63,69
10.1142/S1793962318500587,Proceedings of the IEEE International Conference on Computer Vision-3,154,167
10.1016/j.eswa.2015.08.012,Proceedings of the IEEE International Conference on Computer Vision-3,144,155
10.1007/978-3-540-39429-7_16,Proceedings of the IEEE International Conference on Computer Vision-3,139,158
10.3217/jucs-007-04-0307,Proceedings of the IEEE International Conference on Computer Vision-3,168,183
10.1145/3062341.3062346,Proceedings of the IEEE International Conference on Computer Vision-3,210,225
10.1109/IWBIS.2019.8935849,Proceedings of the IEEE International Conference on Computer Vision-3,26,39
10.1007/11780274_18,Proceedings of the IEEE International Conference on Computer Vision-3,124,139
10.1109/tvcg.2020.3038154,Proceedings of the IEEE International Conference on Computer Vision-3,54,78
10.2168/LMCS-10(4:2)2014,Proceedings of the IEEE International Conference on Computer Vision-3,118,139
10.1007/978-3-319-69084-1_15,Proceedings of the IEEE International Conference on Computer Vision-3,105,121
10.1007/s00236-009-0093-8,Proceedings of the IEEE International Conference on Computer Vision-3,85,102
10.1016/j.tcs.2015.12.015,Proceedings of the IEEE International Conference on Computer Vision-3,256,263
10.17706/JSW.14.6.227-246,Proceedings of the IEEE International Conference on Computer Vision-3,215,229
10.1007/978-3-030-38919-2_12,Proceedings of the IEEE International Conference on Computer Vision-3,4,18
10.1515/PBJ-2017-0007,Proceedings of the IEEE International Conference on Computer Vision-3,293,304
10.1007/978-3-642-35524-0_6,Proceedings of the IEEE International Conference on Computer Vision-3,61,79
10.3929/ETHZ-A-006154473,Proceedings of the IEEE International Conference on Computer Vision-3,201,221
10.1002/rsa.20067,Proceedings of the IEEE International Conference on Computer Vision-3,259,269
10.1007/978-3-540-71316-6_23,Proceedings of the IEEE International Conference on Computer Vision-3,93,105
10.1007/978-3-642-15769-1_4,Proceedings of the IEEE International Conference on Computer Vision-3,3,6
10.1145/101306.101308,Proceedings of the IEEE International Conference on Computer Vision-3,282,297
10.7551/mitpress/11469.003.0004,Proceedings of the IEEE International Conference on Computer Vision-3,120,136
10.1007/978-1-4471-5514-0,Proceedings of the IEEE International Conference on Computer Vision-3,227,238
10.1109/LCOMM.2018.2798668,Proceedings of the IEEE International Conference on Computer Vision-3,162,170
10.1109/INFCOMW.2019.8845271,Proceedings of the IEEE International Conference on Computer Vision-3,187,200
10.1145/1412228.1455267,Proceedings of the IEEE International Conference on Computer Vision-3,277,297
10.1016/j.peva.2008.11.003,Proceedings of the IEEE International Conference on Computer Vision-3,46,63
10.1007/s00236-006-0010-3,Proceedings of the IEEE International Conference on Computer Vision-3,36,48
