doi,title,abstract,publication_date
10.1007/s00236-012-0171-1,Does indirect addressing matter?,In the study of random access machines (RAMs) and the complexities associated with their algorithms  the availability of indirect addressing often creates an analysis obstacle. We show that for RAMs equipped with a sufficiently rich set of basic operations  indirect addressing does not increase computational power  and can be simulated either in linear time or on-line in real time. These results pertain to the uniform cost model and  particularly  assume a unit cost variable shift.,2020-03-20
10.1007/s00236-016-0260-7,Special issue on temporal representation and reasoning (TIME’13),In September 2013  we organized the 20th International Symposium on Temporal Representation and Reasoning (TIME’13) that took place in Pensacola  FL (USA). After 20years  the Symposium returned to the venue where it originally started. TIME has grown since its original incarnation as a workshop to become an international symposium encompassing several different areas of computer science which deal  in some way or another  with the concept of time  its representation  reasoning and applications. This event has provided an opportunity for scientific exchange for researchers coming from different areas such as artificial intelligence  databases  temporal logic  and formal methods. The work presented at the 2013 Symposium concerned several different temporal aspects of information and computation and comprises a unique combination of innovative theoretical results and successful applications. This special issue of Acta Informatica originates from a call for papers sent out right after the symposium  in which we invited the authors of the highest ranked papers—according to the reviews carried out by the Program Committee members—to submit an extended version. After two rounds of reviews performed by additional experts the following papers were selected for publication in the special issue.We thank all reviewers for their commitment and dedication. The paper “A Faster Execution Algorithm for Dynamically Controllable Simple Temporal Networks with Uncertainty”  by Luke Hunsberger  presents novel algorithms for managing the execution of dynamically controllable simple temporal networks with uncertainty. For the first time  full proofs of the correctness of these algorithms in a self-contained manner are presented. The paper “Optimization in Temporal Qualitative Constraint Networks” by Jean-Francois Condotta  Souhila Kaci and Yakoub Salhi presents a variety of results about temporal quali-,2012-03-20
10.1007/s00236-012-0152-4,The identity problem of finitely generated bi-ideals,Finitely generated bi-ideals with letters from a selected alphabet A are considered. We solve the equivalence problem for generating systems of bi-ideals  i.e.  look for an effective procedure which provides the means of determining if two generating systems $${\langle u_0  . . .   u_{m-1} \rangle}$$ and $${\langle v_0  . . .   v_{n-1} \rangle}$$ represent equal or different bi-ideals. We offer a method of constructing  for every generating system $${\langle u_0  . . .   u_{m-1} \rangle}$$   an equivalent generating system $${\langle u^{\prime}_{0}  . . .   u^{\prime}_{m-1} \rangle}$$ with differing members. We also describe an algorithm for deciding if two generating systems $${\langle u_0  u_1 \rangle}$$ and $${\langle v_0  v_1 \rangle}$$ are equivalent or not. For a general case  the problem of existence of such an algorithm remains open.,2020-03-20
10.1007/s00236-009-0097-4,Correctness proof of a database replication protocol under the perspective of the I/O automaton model,Correctness of recent database replication protocols has been justified in a rather informal way focusing only in safety properties and without using any rigorous formalism. Since a database replication protocol must ensure some degree of replica consistency and that transactions follow a given isolation level  previous proofs only focused in these two issues. This paper proposes a formalization using the I/O automaton model  identifying several components in the distributed system that are involved in the replication support (replication protocol  group communication system  database replicas) and specifying clearly their actions in the global replicated system architecture. Then  a general certification-based replication protocol guaranteeing the snapshot isolation level is proven correct. To this end  different safety and liveness properties are identified  checked and proved. Our work shows that some details of the replication protocols that were ignored in previous correctness justifications are indeed needed in order to guarantee our proposed correctness criteria.,2018-03-20
10.1007/BF01178564,Receptive process theory,An algebraic theory of receptive processes is presented. A receptive process models the interaction by input events and output events between a system and its environment. Input from the environment and output to the environment are never blocked; but if a system is not ready to receive a particular input  its subsequent behaviour is undefined.In essence  this paper reworks Hoare's theory of Communicating Sequential Processes under the above assumption about communication. The resulting model is more attractive than the failures-divergences model of CSP because the refusal sets of the latter are simplified out of existence. Like CSP  receptive process theory is equipped with a sound and complete set of algebraic laws.Applications of the theory include the design of asynchronous circuits and the study of data flow networks. As an example  this paper verifies algebraically the design of a Muller C-element from a majority-element.,2016-03-20
10.1007/s00236-010-0128-1,A characterization of rational D0L power series,We study D0L power series over an arbitrary field. We characterize those D0L power series which are also rational series. As a consequence we show that rationality is decidable for D0L power series over many fields.,2013-03-20
10.1007/s00236-005-0175-1,Genericity and the π-calculus,Types in processes delineate specific classes of interactive behaviour in a compositional way. Key elements of process theory  in particular behavioural equivalences  are deeply affected by types  leading to applications in the description and analysis of diverse forms of computing. As one of the examples of types for processes  this paper introduces a second-order polymorphic π-calculus based on duality principles  building on type structures coming from typed π-calculi  Linear Logic and game semantics. Of various extensions of first-order typed π-calculi with polymorphism  the present paper focusses on the linear polymorphic π-calculus  extending its first-order counterpart [46]. Fundamental elements of the theory of linear polymorphic processes are studied  including establishment of their strong normalisability using Girard's “candidates ” introduction of a behavioural theory of polymorphic labelled transitions which strengthens Pierce-Sangiorgi's polymorphic bisimulation via duality  and a fully abstract embedding of System F in polymorphic processes  establishing a precise connection between the universe of polymorphic functions and the universe of polymorphic processes. The proof combines process-theoretic reasoning with techniques from game semantics. The abstract nature of polymorphic labelled transitions plays an essential role in full abstraction  elucidating subtle aspects of polymorphism in functions and interaction.,2016-03-20
10.1007/BF01178260,Reexecution in abstract interpretation of Prolog,Logic programming  because of referential transparency  enjoys the property that a literal may be reexecuted finitely often without affecting the meaning of the program. This property  although not interesting computationally in general  can be exploited in abstract interpretation to improve the accuracy of the analysis  as noted by Bruynooghe in [6].We study reexecution from its theoretical foundations to its experimental evaluation. We define a new abstract semantics for Prolog  which incorporates the notion of reexecution  and we study its correctness and precision properties. A fixpoint algorithm to compute the abstract semantics is then presented. The accuracy and efficiency of the algorithm is evaluated experimentally on two abstract domains  a simple and an elaborate one  and compared with conventional approaches.The experimental results indicate that (1) reexecution can provide significant gains in accuracy at a very reasonable computation cost and that (2) reexecution on a simple domain is a versatile alternative to the standard approach on a more sophisticated domain.,2020-03-20
10.1007/BF00263499,Iteration of transformation passes over attributed program trees,SummaryTransformations of attributed program trees form an essential part of compiler optimizations. A strategy of repeatedly applying alternate attribute evaluation and tree transformation phases is discussed. An attribute evaluation phase consists of a sequence of passes over the tree. A tree transformation phase consists of a single pass  which is never interrupted to carry out a re-evaluation. Both phases can be performed in parallel. This strategy requires a distinction between consistent (i.e.  correct) and approximate attribute values. Tree transformations can be considered safe if they guarantee that the attribute values everywhere in the program tree will remain consistent or will become at least approximations of the consistent values  so that subsequent transformations can be applied correctly.This attribute evaluation and tree transformation strategy shows similarities with the evaluation methods for circular attribute grammars.,
10.1007/BF01209713,Satisfiability of co-nested formulas,"AbstractAs a notion dual to Knuth's nested formulas [4]  we call a boolean formula
$$\Phi = \mathop \wedge \limits_{i = 1}^n c_i $$
 in conjunctive normal formco-nested if its clauses can be linearly ordered (sayC={ci;i=1 2  ... n})so that the graphGΦcl=(X∪C  {xci;x∈ci or ¬x∈ci} ∪ {cici+1;i=1  2  ... n}) allows a noncrossing drawing in the plane so that the circlec1 c2  ... cn bounds the outerface. Our main result is that maximum satisfiability of co-nested formulas can be decided in linear time.",2018-03-20
10.1007/BF00264438,Deriving very efficient algorithms for evaluating linear recurrence relations using the program transformation technique,SummaryUsing the program transformation technique we derive some algorithms for evaluating linear recurrence relations in logarithmic time. The particular case of the Fibonacci function is first considered and a comparison with the conventional matrix exponentiation algorithm is made. This comparison allows us also to contrast the transformation technique and the stepwise refinement technique underlining some interesting features of the former one. Through the examples given we also explain why those features are interesting for a useful and reliable program construction methodology.,2011-03-20
10.1007/s00236-003-0115-x,Adding inclusion dependencies to an object-oriented data model with uniqueness constraints,Abstract. We study an object-oriented data model that allows to express both uniqueness constraints and inclusion dependencies as semantic constraints. The data model is based on a subset of F-logic. Uniqueness constraints comprise path functional dependencies which generalise functional dependencies and reflect the navigational power of object-oriented query languages. As inclusion dependencies  we consider explicit class inclusion constraints  besides inclusions required by class hierarchies  and onto constraints that enforce reachability of objects. For these classes of semantic constraints we present an axiomatisation and prove its inference rules to be correct and complete with respect to general logical implication  leaving the decision problem open. The completeness proof combines the known construction for path functional dependencies alone with a possibly infinite model generation process to enforce onto constraints. The results prepare the grounds for normal forms in object-oriented data models and subsequently for computer aided object-oriented database design  following the decomposition approach for the relational data model. Beyond the application for schema design  the achievements could also be exploited for related tasks like semantic query optimisation and mediated data integration within a variety of graph based data models.,2012-03-20
10.1007/BF00264282,On specification of multiprocessor computing,SummaryThe paper presents a new specification style for computations to be executed in an essentially multiprocessor environment. This style is based on two pragmatic premises: (1) the specification is derived from considerations of system reaction related to system state  rather than to a goal to be achieved  (2) a reaction enabled by a system state is executed independently of any other system activity but its outcome is accepted only if the system “by itself” satisfies a postguard condition  i.e. finds itself in a (possibly different) well-defined state.,2020-03-20
10.1007/BF02915445,Correctness of semantic integrity checking in database management systems,SummaryAlthough today’s applications are very demanding with regard to semantic integrity  few database systems provide capabilities of this type. In this paper  a definition of integrity constraint is given in terms of Relational Algebra and certain aspects are then discussed concerning transaction management in the presence of such integrity constraints. In particular  the problem of when to enforce a set of integrity constraints during the execution of a transaction is addressed. For this purpose the notion ofIntegrity Enforcement Schedule is introduced. An Integrity Enforcement Schedule represents the sequence of integrity checking actions performed during the execution of a transaction. A correctness criterion for the Integrity Enforcement Schedules is established  and a sufficient condition for the correctness is provided. Finally the notion ofMinimal Integrity Enforcement Schedule is introduced. The Minimal Integrity Enforcement Schedules are those Integrity Enforcement Schedules in which every constraint is verified ‘as soon as possible”. For this reason they are really desirable in the transaction management to avoid expensive rollingback operations. Algorithms for their construction are presented  together with the associated correctness proofs.,2014-03-20
10.1007/s00236-015-0250-1,Checking interval properties of computations,Model checking is a powerful method widely explored in formal verification. Given a model of a system  e.g.  a Kripke structure  and a formula specifying its expected behaviour  one can verify whether the system meets the behaviour by checking the formula against the model. Classically  system behaviour is expressed by a formula of a temporal logic  such as LTL and the like. These logics are “point-wise” interpreted  as they describe how the system evolves state-by-state. However  there are relevant properties  such as those constraining the temporal relations between pairs of temporally extended events or involving temporal aggregations  which are inherently “interval-based”  and thus asking for an interval temporal logic. In this paper  we give a formalization of the model checking problem in an interval logic setting. First  we provide an interpretation of formulas of Halpern and Shoham’s interval temporal logic HS over finite Kripke structures  which allows one to check interval properties of computations. Then  we prove that the model checking problem for HS against finite Kripke structures is decidable by a suitable small model theorem  and we provide a lower bound to its computational complexity.,2013-03-20
10.1007/s00236-015-0251-0,A linear-time algorithm for the orbit problem over cyclic groups,The orbit problem is at the heart of symmetry reduction methods for model checking concurrent systems. It asks whether two given configurations in a concurrent system (represented as finite strings over some finite alphabet) are in the same orbit with respect to a given finite permutation group (represented by their generators) acting on this set of configurations by permuting indices. It is known that the problem is in general as hard as the graph isomorphism problem  whose precise complexity (whether it is solvable in polynomial-time) is a long-standing open problem. In this paper  we consider the restriction of the orbit problem when the permutation group is cyclic (i.e. generated by a single permutation)  an important restriction of the problem. It is known that this subproblem is solvable in polynomial-time. Our main result is a linear-time algorithm for this subproblem.,2012-03-20
10.1007/BF00264538,Eliminating unit reductions from LR(k) parsers using minimum contexts,SummaryThis paper presents a new approach to the design and the proof of bypassed LR(k) parsers; a bypassed LR(k) parser is an LR(k) parser which does not perform any reductions caused by insignificant unit productions. We show that bypassed LR(k) parsers having minimum set of reduction contexts always exist for Knuth LR(k) parsers  but do not necessarily exist for SLR(k) and LALR(k) parsers. As byproducts of our approach  we naturally derive Anderson  Eve and Homing's algorithm [5] and a sufficient condition for the existence of bypassed SLR(1) parsers.,2013-03-20
10.1007/BF00269809,Analysis of a service facility with periodic checkpointing,SummaryThis paper is an application of the theory of Markov renewal and semi regenerative processes into checkpointing problems. Its main practical contribution consists in the analytic expression of mean response time of systems under checkpointing and in the presence of intermittent failures (data bases  file systems ...).,2016-03-20
10.1007/BF00277386,Data refinement by calculation,SummaryData refinement is the systematic substitution of one data type for another in a program. Usually  the new data type is more efficient than the old  but possibly more complex; the purpose of the data refinement in that case is to make progress in program construction from more abstract to more concrete formulations. A recent trend in program construction is to calculate programs from their specifications; that contrasts with proving that a given program satisfies some specification. We investigate to what extent the trend can be applied to data refinement.,2019-03-20
10.1007/BF00264494,Problematic features of programming languages: a situational-calculus approach,SummaryCertain features of programming languages  such as data structure operations and procedure call mechanisms  have been found to resist formalization by conventional program verification techniques. An alternate approach is presented  based on a “situational calculus ” which makes explicit reference to the states of a computation. For each state  a distinction is drawn between an expression  its value  and the location of the value.Within this conceptual framework  the features of a programming language can be described axiomatically. Programs in the language can then be synthesized  executed  verified  or transformed by performing deductions in this axiomatic system. Properties of entire classes of programs  and of programming languages  can also be expressed and proved in this way. The approach is amenable to machine implementation.In a situational-calculus formalism it is possible to model precisely many “problematic” features of programming languages  including operations on such data structures as arrays  pointers  lists  and records  and such procedure call mechanisms as call by reference  call by value  and call by name. No particular obstacle is presented by aliasing between variables  by declarations  or by recursive procedures.In this paper  we introduce our conceptual framework and present an axiomatic definition of the assignment statement. If suitable restrictions on the programming language are imposed  the well-known Hoare assignment axiom can then be proved as a theorem. However  our definition can also describe the assignment statement of unrestricted programming languages  for which the Hoare axiom does not hold. In forthcoming papers  we apply the situational-calculus framework to the description of data structure operations and procedure call mechanisms.,2018-03-20
10.1007/BF00264363,An analysis of a contention resolution algorithm,SummaryA single multiaccess channel is studied with the outcome of a transmission being either ‘idle’  ‘success’  or ‘collision’ (ternary channel). Packets involved in a collision must be retransmitted  and an efficient way to solve a collision is known in the literature as Gallager-Tsybakov-Mikhailov algorithm. Performance analysis of the algorithm is quite hard. In fact  it bases on a numerical solution of some recurrence equations and on a numerical evaluation of some series. The obvious drawback of it is lack of insight into the behavior of the algorithm. We shall present a new approach of looking at the algorithm and discuss some attempts of analyzing its performance. In particular  expected lengths of a resolution interval and a conflict resolution interval as well as throughput of the algorithm will be discussed using asymptotic approximation and “a small input rate” approximation.,2014-03-20
10.1007/s00236-008-0081-4,Scattered context grammars that erase nonterminals in a generalized k-limited way,A scattered context grammar erases nonterminals in a generalized k-limited way in a successful derivation  where k is a positive integer  if in every sentential form of a derivation  each of its substrings consisting of nonterminals from which the grammar derives empty strings is of length k or less. This paper demonstrates that if a scattered context grammar generates its sentences in this way  it can be converted to a scattered context grammar without erasing productions; in general  however  this is not possible.,2012-03-20
10.1007/s002360050101,A fine-grained data-flow analysis framework,Abstract A fine-grained data-flow analysis framework (L  F) where the elements of the semilattice L are mappings from a set of items I to a semilattice of values V is introduced  and an algorithm is presented to solve this framework by considering the elements of I and V individually  rather than regarding the elements of L as atomic values. It is shown that a variety of useful data-flow problems fit into the fine-grained data-flow analysis framework  and can be solved in O(∣I∣×∣N∣) time.,2020-03-20
10.1007/PL00013301,Data structures for order-sensitive predicates in parallel nondeterministic systems,Abstract. We study the problem of guaranteeing correct execution semantics in parallel implementations of logic programming languages in presence of built-in constructs that are sensitive to order of execution. The declarative semantics of logic programming languages permit execution of various goals in any arbitrary order (including in parallel). However  goals corresponding to extra-logical built-in constructs should respect the sequential order of execution to ensure correct semantics. Ensuring this correctness in presence of such built-in constructs  while efficiently exploiting maximum parallelism  is a difficult problem. In this paper  we propose a formalization of this problem in terms of operations on dynamic trees. This abstraction enables us to: (i) show that existing schemes to handle order-sensitive computations used in current parallel systems are sub-optimal; (ii) develop a novel  optimal scheme to handle order-sensitive goals that requires only a constant time overhead per operation. While we present our results in the context of logic programming  they will apply equally well to most parallel non-deterministic systems.,2011-03-20
10.1007/s002360050107,Performance preorder and competitive equivalence,"Abstract. A preorder based on execution speed  called performance preorder  is introduced for a simple process algebra with durational actions. Two processes 
$E$ and 
$F$ are related -
$ E \sqsubseteq_p F$- if they have the same functionality (in this case  we have chosen strong bisimulation equivalence) and 
$E$ is at least as fast as 
$F$. Hence  this preorder supports the stepwise refinement “from specification to implementation” by increasing efficiency while retaining the same functionality. We show that the problem of finding faster implementations for a specification is connected to the problem of finding more distributed implementations of the same specification. Both performance preorder and the induced equivalence  called competitive equivalence  are provided with sound and complete axiomatizations for finite agents.
",2016-03-20
10.1007/s00236-004-0150-2,Project scheduling with irregular costs: complexity  approximability  and algorithms,Abstract.We address a generalization of the classical discrete time-cost tradeoff problem where the costs are irregular and depend on the starting and the completion times of the activities. We present a complete picture of the computational complexity and the approximability of this problem for several natural classes of precedence constraints. We prove that the problem is NP-hard and hard to approximate  even in case the precedence constraints form an interval order. For precedence constraints with bounded height  there is a complexity jump from height one to height two: For height one  the problem is polynomially solvable  whereas for height two  it is NP-hard and APX-hard. Finally  the problem is shown to be polynomially solvable if the precedence constraints have bounded width or are series parallel.,2015-03-20
10.1007/BF00263580,Computational algorithms for networks of queues with rejection blocking,SummaryOpen  closed and mixed queueing networks with reversible routing  multiple job classes and rejection blocking are investigated. In rejection blocking networks blocking event occurs when upon completion of its service of a particular station's server  a job attempts to proceed to its next station. If  at that moment  its destination station is full  the job is rejected. The job goes back to the server of the source station and immediately receives a new service. This is repeated until the next station releases a job and a place becomes available. In the model jobs may change their class membership and general service time distributions depending on the job class are allowed. Two station types are considered: Either the scheduling discipline is symmetric  in which case the service time distributions are allowed to be general and dependent on the job class or the service time distributions at a station are all identical exponential distributions  in which case more general scheduling disciplines are allowed. An exact product form solution for equilibrium state probabilities is presented. Using the exact product form solution of the equilibrium state distribution  algorithms for computation of performance measures  such as mean number of jobs and throughputs  are derived. The complexity of the algorithms is discussed.,2018-03-20
10.1007/BF00290143,Analysis of tree algorithms for the simulation event list,SummaryThe simulation event list is a priority queue found in simulation packages like SIMULA. Its task is to hold the pending events of the simulation  so that they can be executed in the correct order. For varying reasons  most standard algorithms are poorly suited to the special demands of this application.Recent work  on the average-case performance of the binary search tree (BST) and p-tree algorithms under these conditions  is presented. The algorithms are shown to be worse than O(log(n)) in many cases.,2015-03-20
10.1007/BF03036471,Reduction rules for time Petri nets,The goal of net reduction is to increase the effectiveness of Petri-netbased real-time program analysis. Petri-net-based analysis  like all reachabilitybased methods  suffers from the state explosion problem. Petri net reduction is one key method for combating this problem.In this paper  we extend several rules for the reduction of ordinary Petri nets to work with time Petri nets. We introduce a notion of equivalence among time Petri nets  and prove that our reduction rules yield equivalent nets. This notion of equivalence guarantees that crucial timing and concurrency properties are preserved.,2012-03-20
10.1007/s00236-015-0219-0,State space axioms for T-systems,T-systems are generalisations of marked graph Petri nets. This paper describes synthesis algorithms that allow bounded or unbounded T-systems to be derived from finite or infinite labelled transition systems satisfying a set of necessary properties. These properties can thus be interpreted as axioms characterising T-system state spaces.,2020-03-20
10.1007/BF02915448,Applications of the theory of records in the study of random trees,SummaryThe theory of records in sequences of independent identically distributed random variables leads to simple proofs of various properties of random trees  including among other things  the limit law for the depth of the last node of random ordered trees  random union-find trees  and random binary search trees.,2012-03-20
10.1007/BF00264250,A logic covering undefinedness in program proofs,SummaryRecursive definition often results in partial functions; iteration gives rise to programs which may fail to terminate for some imputs. Proofs about such functions or programs should be conducted in logical systems which reflect the possibility of “undefined values”. This paper provides an axiomatization of such a logic together with examples of its use.,2014-03-20
10.1007/s00236-016-0256-3,Metric propositional neighborhood logic with an equivalence relation,The propositional interval logic of temporal neighborhood (PNL for short) features two modalities that make it possible to access intervals adjacent to the right (modality $$\langle A \rangle $$⟨A⟩) and to the left (modality $$\langle \overline{A}\rangle $$⟨A¯⟩) of the current interval. PNL stands at a central position in the realm of interval temporal logics  as it is expressive enough to encode meaningful temporal conditions and decidable (undecidability rules over interval temporal logics  while PNL is NEXPTIME-complete). Moreover  it is expressively complete with respect to the two-variable fragment of first-order logic extended with a linear order $$\text {FO} ^2[<]$$FO2[<]. Various extensions of PNL have been studied in the literature  including metric  hybrid  and first-order ones. Here  we study the effects of the addition of an equivalence relation $$\sim $$∼ to Metric PNL (MPNL$${\sim }$$∼). We first show that the finite satisfiability problem for PNL extended with $$\sim $$∼ is still NEXPTIME-complete. Then  we prove that the same problem for MPNL$${\sim }$$∼ can be reduced to the decidable 0–0 reachability problem for vector addition systems and vice versa (EXPSPACE-hardness immediately follows).,2014-03-20
10.1007/BF00263994,Amounts of nondeterminism in finite automata,SummaryThe amount of nondeterminism in a nondeterministic finite automaton (NFA) is measured by counting the minimal number of “guessing points” a string w has to pass through on its way to an accepting state. NFA's with more nondeterminism can achieve greater savings in the number of states over their deterministic counterparts than NFA's with less nondeterminism. On the other hand  for some nontrivial infinite regular languages a deterministic finite automaton (DFA) can already be quite succinct in the sense that NFA's need as many states (and even context-free grammars need as many nonterminals) as the minimal DFA has states.,
10.1007/BF02915444,Corrections to “A synthesis of several sorting algorithms” by J. Darlington,SummaryDarlington applied program transformation to derive a number of sorting algorithms. We identify and correct two errors in his derivation of quick sort  one of which causes his resulting algorithm to be non-terminating on some inputs  the other of which could have led to an incorrect algorithm  but is fortuitously eliminated later in his derivation.,2017-03-20
10.1007/s00236-011-0148-5,Equational weighted tree transformations,We consider systems of equations of weighted tree transformations with finite support over continuous and commutative semirings. We define a weighted relation to be equational  if it is a component of the least solution of such a system of equations in a pair of algebras. In particular  we focus on equational weighted tree transformations which are equational relations obtained by considering the least solutions of such systems in pairs of term algebras. We characterize equational weighted tree transformations in terms of weighted tree transformations defined by different weighted bimorphisms. To demonstrate the robustness of equational weighted tree transformations  we give an equational definition of the class of linear and nondeleting weighted top-down tree transformations and of the class of linear and nondeleting weighted extended top-down tree transformations. Finally  we prove that a weighted relation is equational if and only if it is  roughly speaking  the morphic image of a weighted equational tree transformation.,2015-03-20
10.1007/BF00276020,Predicate-transformer semantics of general recursion,SummaryWe develop the semantics of a language with arbitrary atomic statements  unbounded nondeterminacy  and mutual recursion. The semantics is expressed in weakest preconditions and weakest liberal preconditions. Individual states are not mentioned. The predicates on the state space are treated as elements of a distributive lattice. The semantics of recursion is constructed by means of the theorem of Knaster-Tarski. It is proved that the law of the excluded miracle can be preserved  if that is wanted. The universal conjunctivity of the weakest liberal precondition  and the connection between the weakest precondition and the weakest liberal precondition are proved to remain valid. Finally we treat Hoare-triple methods for proving correctness and conditional correctness of programs.,2012-03-20
10.1007/BF00264228,Rewrite systems on a lattice of types,SummaryRe-writing systems for partial algebras are developed by modifying the Knuth-Bendix completion algorithm to permit the use of latticestructured domains. Some problems with the original algorithm  such as the treatment of division rings  are overcome conveniently by this means. The use of a type lattice also gives a natural framework for specifying data types in Computer Science without over-specifying error situations. The soundness and meaning of the major concepts involved in re-writing systems are reviewed when applied to such structures.,2013-03-20
10.1007/s00236-003-0113-z,Reasoning about probabilistic sequential programs in a probabilistic logic,Abstract. We introduce a notion of strong monotonicity of probabilistic predicate transformers. This notion enables us to establish a normal form theorem for monotone probabilistic predicate transformers. Three other healthiness conditions  namely  conjunctivity  disjunctivity and continuity for probabilistic predicate transformers are also examined  and they are linked to strong monotonicity. A notion of probabilistic refinement index is proposed  and it provides us with a continuous strength spectrum of refinement relations which may be used to describe more flexible refinement between probabilistic programs. A notion of probabilistic correctness is introduced too. We give a probabilistic weakest-precondition  choice and game semantics to the contract language  and present a probabilistic generalization of the winning strategy theorem.,2016-03-20
10.1007/BF00267042,Optimum decision trees — an optimal variable theorem and its related applications,SummaryThe problem of translation of a decision table into an optimal sequential testing procedure (STP) under two cost criteria is considered. We formulate the STP as a decision tree and introduce its description and execution costs. As usual  optimal STPs are defined as minimum cost decision trees. We call a variable optimal when it is tested first in an optimal STP. In other words an optimal variable is one which is placed (and hence to be tested) at the root of an optimum decision tree. We introduce a notion of quasi-decisive variables and prove that under the strong equivalence assumption on quasi-decisive variables (SEA)  they are optimal  and conversely  only the quasi-decisive variables are optimal whenever they exist in both costs (the optimal variable theorem). SEA holds in the general description cost and in the uniform execution cost. We show that SEA in the theorem can not be weakened in case of the general execution cost.We describe an algorithm for the construction of an optimum decision tree which requires O(Nlog3 log N) comparison operations  where N is the size of the input table. Then we show that we can speed-up this algorithm by applying the optimal variable theorem in description cost case. In fact the number of executions of the inner-most loop of the algorithm is reduced greatly under fairly reasonable assumptions on the test data tables  resulting in a considerable reduction in the total execution time of the algorithm.As a related topic we discuss optimization problems of quasi-decisive chains under execution cost. Our optimization algorithm requires O(N log N) operations.,2019-03-20
10.1007/BF00289045,Die Zeitkomplexität des Normalisierungsproblems bei kontextsensitiven Grammatiken,SummaryLet G be a Contextsensitive grammar. Gcf represents the context free core of G. In this paper the time complexity of the following problem will be discussed. The Normalization ProblemLet τ be a derivation tree with respect to Gc∫; is τ also a derivation tree with respect to G? It is shown that in general the normalization problem is NP-complete. On the other hand  for every context sensitive language L there is a corresponding context sensitive grammar G for which this normalization problem is solvable in polynomial time.ZusammenfassungSei G eine kontextsensitive Grammatik. Gc∫ bezeichne den kontextfreien Kern von G. In dieser Arbeit wird die Zeitkomplexität des folgenden Problems untersucht. Das NormalisierungsproblemSei τ ein Ableitungsbaum bezüglich Gc∫; ist τ auch ein Ableitungsbaum bezüglich G? Es wird gezeigt  daß im allgemeinen das Normalisierungs-problem NP-vollständig ist. Andererseits gibt es zu jeder kontextsensitiven Sprache L eine kontextsensitive Grammatik G  für welche das Normalisierungsproblem in Polynomzeit lösbar ist.,2019-03-20
10.1007/BF00288688,Direction controlled programmed grammars,SummaryA generalization of the notion of a context-free grammar is presented here. It is based on the notion of a programmed grammar. When the underlying context-free rules do not contain erasing  the class of languages obtained is identical with the class of context-sensitive languages. With underlying context-free rules containing erasing one obtains the class of recursively enumerable languages.,2018-03-20
10.1007/s002360050097,Testing bag-containment of conjunctive queries,"Abstract. Under the bag-theoretic semantics relations are bags of tuples  that is  a tuple may have any number of duplicates. Under this semantics  a conjunctive query 
$Q$ is bag-contained in a conjunctive query 
$Q^{\prime }$  denoted 
$ Q\leq _bQ^{\prime }$  if for all databases 
${\cal D}$  
$Q({\cal D})$  the result of applying 
$Q$ to 
${\cal D}$  is a subbag of 
$ Q^{\prime }({\cal D)}$. It is not known whether testing 
$Q\leq _bQ^{\prime }$ is decidable.
 In this paper we prove that 
$Q\leq _bQ^{\prime }$ can be tested on a finite set of canonical databases built from the body of 
$Q$. Using that result we give a procedure that decides the bag-containment problem of conjunctive queries in a large number of cases.",2017-03-20
10.1007/BF01463948,Correction to Null values in nested relational databases by M.A. Roth  H.F. Korth  and A. Silberschatz,We show that the extended projection of a nested relation in Partitioned Normal Form (PNF) is not a precise generalization of standard projection with respect to unnesting and PNF possibility functionPOSS.,2012-03-20
10.1007/BF00265556,The implementation of retention in a coroutine environment,SummaryAn efficient storage management scheme for languages supporting both coroutines and procedures is discussed. This scheme requires identifying those program components whose run time instances might need retention. These components could include both procedures and coroutines. A compile-time marking technique for determining these components in a block structured coroutine environment is presented. The impact that variations in the form of the coroutine control structures have on the technique is also addressed. Using the compile time marking as a guide  the storage management scheme can contract gracefully into a stack when programs use only a procedure call/return control discipline.,2016-03-20
10.1007/PL00013319,Even faster generalized LR parsing,Abstract. We prove a property of generalized LR (GLR) parsing – if the grammar is without right and hidden left recursions  then the number of consecutive reductions between the shifts of two adjacent symbols cannot be greater than a constant. Further  we show that this property can be used for constructing an optimized version of our GLR parser. Compared with a standard GLR parser  our optimized parser reads one symbol on every transition and performs significantly fewer stack operations. Our timings show that  especially for highly ambiguous grammars  our parser is significantly faster than a standard GLR parser.,2019-03-20
10.1007/BF00271641,A set-theoretic semantics for Clear,SummaryA semantics for the Clear specification language is given. The language of set theory is employed to present constructions corresponding to Clear's specification-combining operations  which are then used as the basis for a denotational semantics. This is in contrast to Burstall and Goguen's 1980 semantics which described the meanings of these operations more abstractly via concepts from category theory.,2014-03-20
